"tayren","طايرين"
"2ja","اجا"
"afch7","افجح"
"5alatha","خالاتها"
"bra7tk","براحتك"
"7mer","حمير"
"mahlo","مهلو"
"ahleen","اهلين"
"l8ethom","لقيتهم"
"mnzra","منزره"
"5shneh","خشنه"
"b2dr","بأدر"
"m9a7a","مصحه"
"$rfona","شرفونا"
"ja2zet","جائزة"
"2lwalden","الوالدين"
"mab9ot","مبصوط"
"5alstm","خلصتم"
"matha","ماذا"
"3'orfet","غرفة"
"msh3'ol","مشغول"
"intba3","انطباع"
"aklteha","اكلتيها"
"biik","بيك"
"b2a5er","بأخر"
"bblish","ببلش"
"b36oki","بعطوكي"
"zeb6at","زبطت"
"wen3ad","وينعاد"
"jafaf","جفاف"
"lmeen","لمين"
"wladh","ولاده"
"wlahi","واللهي"
"jamil","جميل"
"bt6l3o","بتطلعو"
"rsmi","رسمي"
"b9fa","بصفى"
"rman","رمان"
"btdbki","بتدبكي"
"ba3tene","باعتيني"
"kloo","كله"
"els67","السطح"
"2lshbshb","الشبشب"
"3lmktbeh","عالمكتبه"
"bodrob","بضرب"
"tnthehm","تنتهيهم"
"9rli","صرلي"
"btswe","بتسوي"
"tanshof","تانشوف"
"3rsy","عرسي"
"aw","او"
"m7al","محل"
"dhan","دهان"
"z3laneh","زعلانه"
"t3rft","تعرفت"
"tanyh","تانيه"
"blki","بلكي"
"t3r6'le","تعرظلي"
"zayek","زيك"
"ajo","اجو"
"mahshe","محشي"
"a$ofk","اشوفك"
"ay","اي"
"jay","جاي"
"fakrte","فكرتي"
"5o4lak","خذلك"
"t5ali","تخلي"
"el7ay","الحي"
"domz","دومز"
"a3mr","اعمر"
"bttnakas","بتتنكس"
"b3en","بعين"
"bdkesh","بدكيش"
"3qlyan","عقليا"
"m3'sleh","مغسله"
"feyi","فيي"
"a2dem","أأدم"
"3ajztehm","عجزتيهم"
"5abar","خبر"
"wy5lelk","ويخليك"
"$8a","شقا"
"3mame","عمامي"
"betfarre7na","بتفرحنا"
"alllhoma","اللهم"
"sb3ek","سبعك"
"aje","اجي"
"er7mni","ارحمني"
"bla$","بلاش"
"shal","شال"
"bt9er","بتصير"
"bnt","بنت"
"yer2os","يرئص"
"elthalajeh","الثلاجه"
"mskaki","مسكاكي"
"sa2ltk","سالتك"
"ahkelk","احكيلك"
"thanwe","ثانوي"
"almu3a8ah","المعاقه"
"sob7an","سبحان"
"elkory","الكوري"
"beom","بيوم"
"mkah","مكه"
"mrwe7","مروح"
"twasish","توصيش"
